,Email_ID,type,Trace_ID,Action,Date
168,204,email,43,commit changes,2017-04-19 08:48:23
169,205,email,43,resolve issue,2017-04-19 08:49:41
170,143,email,44,ask a question,2017-04-18 13:47:39
171,146,email,44,provide support,2017-04-18 14:05:59
172,155,email,44,close question,2017-04-18 15:37:49
173,166,email,44,provide support,2017-04-19 07:07:12
174,147,email,45,create issue,2017-04-18 14:19:41
175,217,email,45,commit changes,2017-04-19 09:45:35
176,218,email,45,resolve issue,2017-04-19 09:46:41
177,148,email,46,create issue,2017-04-18 14:22:41
178,149,email,46,commit changes,2017-04-18 14:40:02
179,150,email,46,resolve issue,2017-04-18 14:40:41
180,163,email,46,issue comment,2017-04-19 07:05:41
181,164,email,46,reopen issue,2017-04-19 07:06:41
182,165,email,46,issue comment,2017-04-19 07:06:41
183,187,email,46,commit changes,2017-04-19 08:35:46
184,188,email,46,commit changes,2017-04-19 08:35:47
185,189,email,46,commit changes,2017-04-19 08:35:48
186,190,email,46,commit changes,2017-04-19 08:35:49
187,191,email,46,commit changes,2017-04-19 08:35:50
188,192,email,46,commit changes,2017-04-19 08:35:51
189,193,email,46,commit changes,2017-04-19 08:35:52
190,194,email,46,commit changes,2017-04-19 08:35:53
191,195,email,46,commit changes,2017-04-19 08:35:54
192,196,email,46,commit changes,2017-04-19 08:35:55
193,197,email,46,commit changes,2017-04-19 08:35:56
194,198,email,46,commit changes,2017-04-19 08:35:57
195,200,email,46,resolve issue,2017-04-19 08:38:41
196,211,email,46,commit changes,2017-04-19 09:14:38
197,151,email,47,commit changes,2017-04-18 14:53:26
198,157,email,48,issue comment,2017-04-18 21:13:41
199,158,email,48,issue comment,2017-04-18 21:15:42
200,159,email,48,issue comment,2017-04-18 21:18:41
201,182,email,48,commit changes,2017-04-19 08:05:09
202,183,email,48,commit changes,2017-04-19 08:08:27
203,184,email,48,issue comment,2017-04-19 08:10:41
204,185,email,48,commit changes,2017-04-19 08:10:44
205,161,email,49,ask a question,2017-04-19 05:10:16
206,230,email,49,assign issue,2017-04-19 11:37:41
207,231,email,49,open pull request,2017-04-19 11:38:12
208,232,email,49,automated comment issue,2017-04-19 11:38:41
209,173,email,50,create issue,2017-04-19 07:47:41
210,175,email,50,assign issue,2017-04-19 07:56:41
211,178,email,50,issue comment,2017-04-19 08:01:41
212,220,email,50,open pull request,2017-04-19 10:33:12
213,221,email,50,automated comment issue,2017-04-19 10:33:41
214,222,email,50,commit changes,2017-04-19 10:52:10
215,223,email,50,close pull request,2017-04-19 10:52:29
216,224,email,50,automated comment issue,2017-04-19 10:52:41
217,225,email,50,resolve issue,2017-04-19 11:00:47
218,226,email,50,assign issue,2017-04-19 11:00:47
219,186,email,51,build system update,2017-04-19 08:31:14
220,179,email,52,commit changes,2017-04-19 08:02:24
221,180,email,52,close pull request,2017-04-19 08:02:44
222,181,email,52,automated comment issue,2017-04-19 08:03:41
223,199,email,53,commit changes,2017-04-19 08:35:58
224,210,email,53,commit changes,2017-04-19 09:14:37
225,202,email,54,ask a question,2017-04-19 08:42:49
226,207,email,54,provide support,2017-04-19 09:05:02
227,243,email,54,close question,2017-04-19 12:30:24
228,203,email,55,commit changes,2017-04-19 08:44:54
229,206,email,56,build system update,2017-04-19 08:51:49
230,208,email,57,create issue,2017-04-19 09:08:41
231,212,email,57,commit changes,2017-04-19 09:15:57
232,213,email,57,resolve issue,2017-04-19 09:16:41
233,219,email,58,assign issue,2017-04-19 10:18:41
234,228,email,59,issue update,2017-04-19 11:11:41
235,229,email,60,create issue,2017-04-19 11:14:41
236,235,email,61,commit changes,2017-04-19 11:53:09
237,236,email,61,commit changes,2017-04-19 11:53:10
238,237,email,62,commit changes,2017-04-19 11:57:57
239,240,email,62,commit changes,2017-04-19 12:26:53
240,238,email,63,open pull request,2017-04-19 12:21:29
241,245,email,63,commit changes,2017-04-19 12:31:03
242,246,email,63,close pull request,2017-04-19 12:31:17
243,241,email,64,ask a question,2017-04-19 12:27:35
244,242,email,64,ask a question,2017-04-19 12:29:00
245,244,email,64,update question,2017-04-19 12:30:59
246,247,email,64,provide support,2017-04-19 12:35:40
247,248,email,64,ask a question,2017-04-19 13:08:24
248,249,email,64,ask a question,2017-04-19 13:27:36
249,250,email,65,publicity,2017-04-19 13:27:37
