,Email_ID,Trace_ID,Action,Date,Keyword_1,Keyword_2,Keyword_3,Keyword_4,Keyword_5
69,55,16,ask a question,2017-04-17 15:56,issue,encoding,tokenize,grouping,fixed
70,56,17,ask a question,2017-04-17 16:45,split,json,sql,component,battle
71,57,17,provide support,2017-04-17 17:40,json,split,resultset,database,batch
72,58,17,update question,2017-04-17 17:49,json,split,maxmessagesperpoll,record,not
73,59,17,provide support,2017-04-17 18:21,split,json,resultset,suggest,whole
74,60,17,update question,2017-04-17 18:32,json,split,try,file,i'll try
75,61,18,create issue,2017-04-18 01:35,bug,created,itest,camel-protobuf,fail
76,62,18,issue update,2017-04-18 01:36,updated,itest,camel-protobuf,fail,bug
77,63,18,issue update,2017-04-18 01:37,updated,camel-protobuf,itest,component/s,fail
78,64,18,issue update,2017-04-18 01:37,updated,itest,camel-protobuf,label,fail
79,65,18,issue update,2017-04-18 01:52,updated,camel-protobuf,itest,fail,description
80,66,18,issue update,2017-04-18 01:53,updated,itest,camel-protobuf,fail,description
81,67,18,assign issue,2017-04-18 02:22,camel-protobuf,itest,assigned,reassigned,fail
82,68,18,issue comment,2017-04-18 02:25,dependency,camel-protobuf,commented,fail,missed
83,69,18,open pull request,2017-04-18 02:28,add,pull request,protobuf-guava-version,declaration,missing
84,70,18,automated comment issue,2017-04-18 02:28,pull request,commented,camel-protobuf,itest,fail
85,73,18,commit changes,2017-04-18 06:46,commit,declaration,protobuf-guava-version,missing,feature
86,74,18,close pull request,2017-04-18 06:47,closed,protobuf-guava-version,pull request,missing,add
87,75,18,automated comment issue,2017-04-18 06:47,closed,itest,camel-protobuf,commented,pull request
88,78,18,issue update,2017-04-18 07:07,updated,test,itest,camel-protobuf,issue
89,79,18,resolve issue,2017-04-18 07:07,fixed,camel-protobuf,resolved,fail,itest
90,71,19,ask a question,2017-04-18 04:11,route,file,folder,re-use,query
91,72,19,update question,2017-04-18 04:13,beginner,route,file,name,camel
92,83,19,provide support,2017-04-18 07:29,route,filename,option,camel,look
93,176,19,ask a question,2017-04-19 07:57,issue,route,tried,file name,error
94,177,19,provide support,2017-04-19 08:00,filefilter,route,dynamic,detail,file
95,76,20,commit changes,2017-04-18 06:48,upgrade,amq,commit,git,dependency
96,77,21,create issue,2017-04-18 07:04,created,spring-boot,camel-hbase,fails,test
97,87,21,issue comment,2017-04-18 07:42,commented,spring-boot,itest,fails,camel-hbase
98,94,21,issue comment,2017-04-18 08:08,spring-boot,commented,fails,itest,checking
99,108,21,commit changes,2017-04-18 09:28,dependency,test,load,commit,do not
100,109,21,issue comment,2017-04-18 09:31,spring-boot,commented,fails,itest,camel-hbase
101,168,21,issue update,2017-04-19 07:32,spring-boot,camel-hbase,updated,test,fails
102,169,21,resolve issue,2017-04-19 07:32,spring-boot,camel-hbase,resolved,fixed,itest
103,170,21,assign issue,2017-04-19 07:32,spring-boot,camel-hbase,reassigned,assigned,itest
104,84,22,issue update,2017-04-18 07:34,camel-solr,updated,removed,readme,build
105,85,22,issue comment,2017-04-18 07:34,camel-solr,readme,removed,commented,camel-ignite
106,86,22,issue comment,2017-04-18 07:41,camel-solr,commented,maven,removed,camel-ignite
107,127,22,issue comment,2017-04-18 12:13,camel-solr,readme,commented,removed,build
108,128,22,issue update,2017-04-18 12:13,camel-solr,camel-ignite,updated,readme,removed
109,131,22,issue comment,2017-04-18 12:17,commented,camel-solr,apt-error,readme,log file
110,136,22,issue comment,2017-04-18 12:34,camel-solr,commented,camel-ignite,removed,readme
111,162,22,issue comment,2017-04-19 06:14,readme,commented,removed,camel-solr,camel-ignite
112,167,22,issue comment,2017-04-19 07:08,commented,ticket,camel-solr,camel-ignite,issue
113,171,22,issue update,2017-04-19 07:46,camel-ignite,removed,updated,readme,build
114,172,22,issue comment,2017-04-19 07:46,removed,commented,readme,mvn,camel-ignite
115,209,22,open pull request,2017-04-19 09:09,maven-antrun-plugin,opened,pull request,remove,dir
116,214,22,commit changes,2017-04-19 09:17,commit,maven-antrun-plugin,dir,remove,data
117,215,22,close pull request,2017-04-19 09:19,closed,maven-antrun-plugin,pull request,remove,dir
118,216,22,issue comment,2017-04-19 09:20,camel-ignite,commented,fixed,removed,readme
119,88,23,assign issue,2017-04-18 07:44,documentation,websocket,reassigned,implementation,improve
120,89,23,issue comment,2017-04-18 07:44,documentation,commented,websocket,improve,verify
121,90,24,version release planning,2017-04-18 07:45,roadmap,test,passing,itest,camel
122,174,24,version release planning,2017-04-19 07:54,issue,roadmap,test,@generated,resolved
123,233,24,version release planning,2017-04-19 11:39,roadmap,spring boot,version,java 9,@generated
124,239,24,version release planning,2017-04-19 12:21,roadmap,loadbalancer,update,refactoring,doc
125,91,25,create issue,2017-04-18 07:54,camel-infinispan,created,operation,improvement,command
126,92,25,issue update,2017-04-18 07:55,updated,camel-infinispan,operation,discrepancy,command
127,95,26,create issue,2017-04-18 08:11,deployment,camel-kubernetes,created,support,new feature
128,96,27,create issue,2017-04-18 08:17,daemonset,camel-kubernetes,created,support,new feature
129,97,28,create issue,2017-04-18 08:19,job,camel-kubernetes,created,support,new feature
130,98,29,create issue,2017-04-18 08:21,ingres,camel-kubernetes,created,support,new feature
131,100,30,issue comment,2017-04-18 08:57,xerces,commented,accessexternaldtd,property,wrong
132,101,30,issue update,2017-04-18 08:59,xerces,updated,accessexternaldtd,version/s,fix
133,104,30,issue comment,2017-04-18 09:00,commented,release,accessexternaldtd,xerces,property
134,102,31,create issue,2017-04-18 08:59,created,doc,ascii,task,component
135,106,31,commit changes,2017-04-18 09:25,doc,ascii,commit,component,warn
136,107,31,resolve issue,2017-04-18 09:25,resolved,ascii,doc,component,fixed
137,103,32,commit changes,2017-04-18 09:00,docker,upgrade,java,commit,version
138,105,33,commit changes,2017-04-18 09:08,pom.xml,camel-catalog,fix,javadoc,commit
139,110,34,create issue,2017-04-18 10:18,improvement,created,service-call,customize,component
140,114,34,commit changes,2017-04-18 11:09,documentation,servicecall,eip,commit,add
141,126,34,work started issue,2017-04-18 11:58,customize,work started,service-call,property,component
142,138,34,resolve issue,2017-04-18 12:40,closed,invalid,service-call,resolution,property
143,113,35,commit changes,2017-04-18 11:08,example,commit,polished,servicecall,git commit
144,124,35,commit changes,2017-04-18 11:38,example,polished,commit,servicecall,bash
145,115,36,open pull request,2017-04-18 11:10,protobuf,opened,issue,pull request,support
146,117,36,commit changes,2017-04-18 11:21,camel-protobuf,gmaven-plugin,commit,set,version
147,118,36,commit changes,2017-04-18 11:21,support,camel-protobuf,check,commit,plugin
148,125,36,close pull request,2017-04-18 11:42,closed,protobuf,issue,pull request,github
149,129,37,open pull request,2017-04-18 12:14,camel-grpc,opened,support,pull request,protobuf
150,132,37,commit changes,2017-04-18 12:26,camel-grpc,protobuf,commit,support,check
151,133,37,close pull request,2017-04-18 12:26,closed,camel-grpc,pull request,support,check
152,116,38,commit changes,2017-04-18 11:17,stringutils,objecthelper,commit,avoid,favor
153,130,39,create issue,2017-04-18 12:14,camel-rest,created,check,improvement,content-type
154,134,40,commit changes,2017-04-18 12:27,upgrade,kubernetes,model,version,commit
155,135,40,commit changes,2017-04-18 12:27,upgrade,kubernetes,client,version,commit
156,137,41,commit changes,2017-04-18 12:35,component,description,commit,add,table
157,144,41,commit changes,2017-04-18 14:04,component,commit,description,add,table
158,145,41,commit changes,2017-04-18 14:04,regen,commit,changed,milo,user-manual
159,152,41,close pull request,2017-04-18 15:05,component,closed,pull request,add,table
160,153,41,automated comment issue,2017-04-18 15:05,camel-milo,closed,test,pull request,commented
161,227,41,commit changes,2017-04-19 11:04,polished,commit,camel,milo client,milo server
162,139,42,ask a question,2017-04-18 12:53,soap,request,response,active mq,put
163,154,42,ask a question,2017-04-18 15:20,jms,reply,request,help,soap
164,140,43,create issue,2017-04-18 13:15,annotation,created,improvement,generated,add
165,141,43,commit changes,2017-04-18 13:17,annotation,commit,generated,add,code
166,142,43,resolve issue,2017-04-18 13:17,resolved,annotation,generated,add,implemented
167,201,43,reopen issue,2017-04-19 08:39,reopened,annotation,@generated,property,optional
168,204,43,commit changes,2017-04-19 08:48,commit,annotation,optional,@generated,default
169,205,43,resolve issue,2017-04-19 08:49,resolved,fixed,annotation,@generated,rest
170,143,44,ask a question,2017-04-18 13:47,camel-sql,exception,clause,throw,bug
171,146,44,provide support,2017-04-18 14:05,camel-sql,exception,version,try,clause
172,155,44,close question,2017-04-18 15:37,camel-sql,exception,worked,clause,thanks
173,166,44,provide support,2017-04-19 07:07,release,exception,camel-sql,work,throw
174,147,45,create issue,2017-04-18 14:19,salesforce,created,annotation,add,improvement
175,217,45,commit changes,2017-04-19 09:45,salesforce,commit,annotation,add,@generated
176,218,45,resolve issue,2017-04-19 09:46,resolved,salesforce,annotation,implemented,@generated
177,148,46,create issue,2017-04-18 14:22,annotation,created,springbootautoconfigurationmojo,improvement,add
178,149,46,commit changes,2017-04-18 14:40,commit,annotation,generated,springbootautoconfigurationmojo,add
179,150,46,resolve issue,2017-04-18 14:40,resolved,springbootautoconfigurationmojo,annotation,implemented,add
180,163,46,issue comment,2017-04-19 07:05,commented,timestamp,annotation,springbootautoconfigurationmojo,include
181,164,46,reopen issue,2017-04-19 07:06,reopened,springbootautoconfigurationmojo,annotation,@generated,add
182,165,46,issue comment,2017-04-19 07:06,annotation,springbootautoconfigurationmojo,commented,@generated,same
183,187,46,commit changes,2017-04-19 08:35,commit,annotation,springbootautoconfigurationmojo,remove,@generated
184,188,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
185,189,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
186,190,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
187,191,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
188,192,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
189,193,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
190,194,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
191,195,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
192,196,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
193,197,46,commit changes,2017-04-19 08:35,commit,add,annotation,@generated,code
194,198,46,commit changes,2017-04-19 08:35,commit,annotation,add,springbootautoconfigurationmojo,@generated
195,200,46,resolve issue,2017-04-19 08:38,resolved,fixed,annotation,springbootautoconfigurationmojo,generated
196,211,46,commit changes,2017-04-19 09:14,commit,annotation,remove,@generated,springbootautoconfigurationmojo
197,151,47,commit changes,2017-04-18 14:53,commit,ribbon,service call,load balancer,confgire
198,157,48,issue comment,2017-04-18 21:13,camel-hdfs2,commented,initialdelay,overwritten,fails
199,158,48,issue comment,2017-04-18 21:15,camel-hdfs2,commented,fails,initialdelay,overwrite
200,159,48,issue comment,2017-04-18 21:18,fix,camel-hdfs2,initialdelay,commented,thanks
201,182,48,commit changes,2017-04-19 08:05,camel-hdfs2,commit,overwritten,initialdelay,option
202,183,48,commit changes,2017-04-19 08:08,commit,camel-hdfs2,initialdelay,overwritten,option
203,184,48,issue comment,2017-04-19 08:10,camel-hdfs2,fixed,initialdelay,commented,overwritten
204,185,48,commit changes,2017-04-19 08:10,camel-hdfs2,commit,overwritten,initialdelay,option
205,161,49,ask a question,2017-04-19 05:10,parsing,issue,unmarshal,csv,bug
206,230,49,assign issue,2017-04-19 11:37,camel-bindy,csv,assigned,unbinding,embedded
207,231,49,open pull request,2017-04-19 11:38,opened,pull request,quotingescaped,added,option
208,232,49,automated comment issue,2017-04-19 11:38,camel-bindy,commented,opened,csv,pull request
209,173,50,create issue,2017-04-19 07:47,annotation,created,problem,@generated,java 9
210,175,50,assign issue,2017-04-19 07:56,annotation,problem,assigned,reassigned,java 9
211,178,50,issue comment,2017-04-19 08:01,annotation,commented,problem,java 9,@generated
212,220,50,open pull request,2017-04-19 10:33,camel-package-maven-plugin,opened,pull request,work,java 9
213,221,50,automated comment issue,2017-04-19 10:33,commented,java 9,pull request,annotation,@generated
214,222,50,commit changes,2017-04-19 10:52,camel-package-maven-plugin,work,make,commit,java 9
215,223,50,close pull request,2017-04-19 10:52,camel-package-maven-plugin,closed,pull request,make,work
216,224,50,automated comment issue,2017-04-19 10:52,closed,commented,pull request,annotation,java 9
217,225,50,resolve issue,2017-04-19 11:00,resolved,java 9,annotation,problem,fixed
218,226,50,assign issue,2017-04-19 11:00,java 9,annotation,reassigned,@generated,assigned
219,186,51,build system update,2017-04-19 08:31,jenkins,build,failure,camel.2.17.x.notest,status
220,179,52,commit changes,2017-04-19 08:02,close,commit,repository,updated,git commit
221,180,52,close pull request,2017-04-19 08:02,closed,improve,pull request,performance,caseinsensiti
222,181,52,automated comment issue,2017-04-19 08:03,commented,pull request,caseinsensitivemap,closed,performance
223,199,53,commit changes,2017-04-19 08:35,commit,documentation,component,regenerate,update
224,210,53,commit changes,2017-04-19 09:14,documentation,regenerate,commit,component,list
225,202,54,ask a question,2017-04-19 08:42,folder,check,exists,startup,help
226,207,54,provide support,2017-04-19 09:05,check,folder,write,code,exists
227,243,54,close question,2017-04-19 12:30,folder,exists,check,solve,startup
228,203,55,commit changes,2017-04-19 08:44,upgrade,wiremock,commit,version,pom.xml
229,206,56,build system update,2017-04-19 08:51,build,jenkins,failure,camel.2.18.x.notest,status
230,208,57,create issue,2017-04-19 09:08,include,name,created,check,improvement
231,212,57,commit changes,2017-04-19 09:15,check,commit,name,include,spring boot
232,213,57,resolve issue,2017-04-19 09:16,resolved,name,fixed,check,spring boot
233,219,58,assign issue,2017-04-19 10:18,camel-twitter,camel-ignite,assigned,separated,endpoint
234,228,59,issue update,2017-04-19 11:11,update,description,updated,complexity,readme
235,229,60,create issue,2017-04-19 11:14,created,deprecationnote,add,@metadata,improvement
236,235,61,commit changes,2017-04-19 11:53,upgrade,spring,commit,camel,repository
237,236,61,commit changes,2017-04-19 11:53,upgrade,integration,spring,commit,camel
238,237,62,commit changes,2017-04-19 11:57,cxf,upgrade,commit,camel,repository
239,240,62,commit changes,2017-04-19 12:26,cxf,upgrade,commit,camel,repository
240,238,63,open pull request,2017-04-19 12:21,example,clean,pull request,opened,camel-milo
241,245,63,commit changes,2017-04-19 12:31,application,commit,clean,example,camel-milo
242,246,63,close pull request,2017-04-19 12:31,closed,pull request,example,application,clean
243,241,64,ask a question,2017-04-19 12:27,camel-swagger-java,fails,spring boot,update,tried
244,242,64,ask a question,2017-04-19 12:29,version,spring boot,camel-swagger-java,fails,what
245,244,64,update question,2017-04-19 12:30,version,fails,camel-swagger-java,spring boot,forgot
246,247,64,provide support,2017-04-19 12:35,exception,camel-swagger-java,spring boot,noclassdeffounderror,fails
247,248,64,ask a question,2017-04-19 13:08,error,spring boot,camel-swagger-java,tried,fails
248,249,64,ask a question,2017-04-19 13:27,spring boot,dependency,ticket,related,fails
249,250,65,publicity,2017-04-19 13:27,podcast,floss,show,weekly,offer
